,rent,prev_month_rent,prev_inventory,covid_%_positive,covid_%_positive_prev_mo,covid_rate_of_increase,covid_rate_of_increase_prev_mo,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,year_2018,year_2019,year_2020,bd__0.0,bd__1.0,bd__2.0,bd__3.0,sex_by_age__total_population_total,sex_by_age_total_population_total_male,sex_by_age_total_population_total_female,"sex_by_age_(white_alone,_not_hispanic_or_latino)__white_alone,_not_hispanic_or_latino_population_total",sex_by_age_(hispanic_or_latino)__hispanic_or_latino_population_total,race__total_population_total,race_total_population_total_white_alone,race_total_population_total_black_or_african_american_alone,race_total_population_total_asian_alone,sex_of_workers_by_means_of_transportation_to_work__workers_16_years_and_over_total,sex_of_workers_by_means_of_transportation_to_work_workers_16_years_and_over_total_car_truck_or_van,sex_of_workers_by_means_of_transportation_to_work_workers_16_years_and_over_total_public_transportation_(excluding_taxicab),sex_of_workers_by_means_of_transportation_to_work_workers_16_years_and_over_total_public_transportation_(excluding_taxicab)_subway_or_elevated,sex_of_workers_by_means_of_transportation_to_work_workers_16_years_and_over_total_bicycle,sex_of_workers_by_means_of_transportation_to_work_workers_16_years_and_over_total_walked,aggregate_travel_time_to_work_(in_minutes)_of_workers_by_sex__workers_16_years_and_over_who_did_not_work_at_home_aggregate_travel_time_to_work_(in_minutes),household_income_in_the_past_12_months_(in_2018_inflation-adjusted_dollars)__households_total,employment_status_for_the_population_16_years_and_over_population_16_years_and_over_total_in_labor_force_civilian_labor_force_unemployed,housing_units__housing_units_total,median_gross_rent_by_bedrooms_renter-occupied_housing_units_paying_cash_rent_median_gross_rent_total,median_year_structure_built__housing_units_median_year_structure_built,lower_contract_rent_quartile_(dollars)__renter-occupied_housing_units_paying_cash_rent_lower_contract_rent_quartile,median_contract_rent_(dollars)__renter-occupied_housing_units_paying_cash_rent_median_contract_rent,upper_contract_rent_quartile_(dollars)__renter-occupied_housing_units_paying_cash_rent_upper_contract_rent_quartile,contract_rent_renter-occupied_housing_units_total_with_cash_rent,median_gross_rent_(dollars)__renter-occupied_housing_units_paying_cash_rent_median_gross_rent,median_gross_rent_as_a_percentage_of_household_income_in_the_past_12_months_(dollars)__renter-occupied_housing_units_paying_cash_rent_median_gross_rent_as_a_percentage_of_household_income,lower_value_quartile_(dollars)__owner-occupied_housing_units_lower_value_quartile_(dollars),median_value_(dollars)__owner-occupied_housing_units_median_value_(dollars),upper_value_quartile_(dollars)__owner-occupied_housing_units_upper_value_quartile_(dollars),median_household_income_the_past_12_months_(in_2018_inflation-adjusted_dollars)_by_tenure_occupied_housing_units_median_household_income_in_the_past_12_months_(in_2018_inflation-adjusted_dollars)_total,median_household_income_the_past_12_months_(in_2018_inflation-adjusted_dollars)_by_tenure_occupied_housing_units_median_household_income_in_the_past_12_months_(in_2018_inflation-adjusted_dollars)_renter_occupied_(dollars),tenure_by_occupants_per_room_occupied_housing_units_total_renter_occupied_0.50_or_less_occupants_per_room,tenure_by_occupants_per_room_occupied_housing_units_total_renter_occupied_0.51_to_1.00_occupants_per_room,tenure_by_occupants_per_room_occupied_housing_units_total_renter_occupied_1.01_to_1.50_occupants_per_room,tenure_by_occupants_per_room_occupied_housing_units_total_renter_occupied_1.51_to_2.00_occupants_per_room,tenure_occupied_housing_units_total_renter_occupied
10,5997.0,5500.0,233.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,22924,11671,11253,12182.0,3246.0,22924,14422,1413,5774,14265.0,582.0,7084.0,6256.0,534.0,4595.0,27.916604225985317,12431.0,0.04546663121510237,14141,2065.0,1966.0,818.0,2008.0,3368.0,9015,2065.0,27.4,92400.0,343400.0,1559100.0,88526.0,83862.0,4740,4122,81,235,0.7383155015686591
11,7125.0,7250.0,113.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,22924,11671,11253,12182.0,3246.0,22924,14422,1413,5774,14265.0,582.0,7084.0,6256.0,534.0,4595.0,27.916604225985317,12431.0,0.04546663121510237,14141,2065.0,1966.0,818.0,2008.0,3368.0,9015,2065.0,27.4,92400.0,343400.0,1559100.0,88526.0,83862.0,4740,4122,81,235,0.7383155015686591
12,2829.0,2875.0,244.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,22924,11671,11253,12182.0,3246.0,22924,14422,1413,5774,14265.0,582.0,7084.0,6256.0,534.0,4595.0,27.916604225985317,12431.0,0.04546663121510237,14141,2065.0,1966.0,818.0,2008.0,3368.0,9015,2065.0,27.4,92400.0,343400.0,1559100.0,88526.0,83862.0,4740,4122,81,235,0.7383155015686591
13,3988.0,4165.0,300.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,22924,11671,11253,12182.0,3246.0,22924,14422,1413,5774,14265.0,582.0,7084.0,6256.0,534.0,4595.0,27.916604225985317,12431.0,0.04546663121510237,14141,2065.0,1966.0,818.0,2008.0,3368.0,9015,2065.0,27.4,92400.0,343400.0,1559100.0,88526.0,83862.0,4740,4122,81,235,0.7383155015686591
14,5927.0,5997.0,190.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,22924,11671,11253,12182.0,3246.0,22924,14422,1413,5774,14265.0,582.0,7084.0,6256.0,534.0,4595.0,27.916604225985317,12431.0,0.04546663121510237,14141,2065.0,1966.0,818.0,2008.0,3368.0,9015,2065.0,27.4,92400.0,343400.0,1559100.0,88526.0,83862.0,4740,4122,81,235,0.7383155015686591
15,7500.0,7125.0,84.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,22924,11671,11253,12182.0,3246.0,22924,14422,1413,5774,14265.0,582.0,7084.0,6256.0,534.0,4595.0,27.916604225985317,12431.0,0.04546663121510237,14141,2065.0,1966.0,818.0,2008.0,3368.0,9015,2065.0,27.4,92400.0,343400.0,1559100.0,88526.0,83862.0,4740,4122,81,235,0.7383155015686591
16,2875.0,2829.0,231.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,22924,11671,11253,12182.0,3246.0,22924,14422,1413,5774,14265.0,582.0,7084.0,6256.0,534.0,4595.0,27.916604225985317,12431.0,0.04546663121510237,14141,2065.0,1966.0,818.0,2008.0,3368.0,9015,2065.0,27.4,92400.0,343400.0,1559100.0,88526.0,83862.0,4740,4122,81,235,0.7383155015686591
17,3995.0,3988.0,319.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,22924,11671,11253,12182.0,3246.0,22924,14422,1413,5774,14265.0,582.0,7084.0,6256.0,534.0,4595.0,27.916604225985317,12431.0,0.04546663121510237,14141,2065.0,1966.0,818.0,2008.0,3368.0,9015,2065.0,27.4,92400.0,343400.0,1559100.0,88526.0,83862.0,4740,4122,81,235,0.7383155015686591
18,5975.0,5927.0,184.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,22924,11671,11253,12182.0,3246.0,22924,14422,1413,5774,14265.0,582.0,7084.0,6256.0,534.0,4595.0,27.916604225985317,12431.0,0.04546663121510237,14141,2065.0,1966.0,818.0,2008.0,3368.0,9015,2065.0,27.4,92400.0,343400.0,1559100.0,88526.0,83862.0,4740,4122,81,235,0.7383155015686591
19,10600.0,7500.0,87.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,22924,11671,11253,12182.0,3246.0,22924,14422,1413,5774,14265.0,582.0,7084.0,6256.0,534.0,4595.0,27.916604225985317,12431.0,0.04546663121510237,14141,2065.0,1966.0,818.0,2008.0,3368.0,9015,2065.0,27.4,92400.0,343400.0,1559100.0,88526.0,83862.0,4740,4122,81,235,0.7383155015686591
20,2963.0,2875.0,210.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,22924,11671,11253,12182.0,3246.0,22924,14422,1413,5774,14265.0,582.0,7084.0,6256.0,534.0,4595.0,27.916604225985317,12431.0,0.04546663121510237,14141,2065.0,1966.0,818.0,2008.0,3368.0,9015,2065.0,27.4,92400.0,343400.0,1559100.0,88526.0,83862.0,4740,4122,81,235,0.7383155015686591
21,4003.0,3995.0,295.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,22924,11671,11253,12182.0,3246.0,22924,14422,1413,5774,14265.0,582.0,7084.0,6256.0,534.0,4595.0,27.916604225985317,12431.0,0.04546663121510237,14141,2065.0,1966.0,818.0,2008.0,3368.0,9015,2065.0,27.4,92400.0,343400.0,1559100.0,88526.0,83862.0,4740,4122,81,235,0.7383155015686591
22,6193.0,5975.0,156.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,22924,11671,11253,12182.0,3246.0,22924,14422,1413,5774,14265.0,582.0,7084.0,6256.0,534.0,4595.0,27.916604225985317,12431.0,0.04546663121510237,14141,2065.0,1966.0,818.0,2008.0,3368.0,9015,2065.0,27.4,92400.0,343400.0,1559100.0,88526.0,83862.0,4740,4122,81,235,0.7383155015686591
23,9998.0,10600.0,72.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,22924,11671,11253,12182.0,3246.0,22924,14422,1413,5774,14265.0,582.0,7084.0,6256.0,534.0,4595.0,27.916604225985317,12431.0,0.04546663121510237,14141,2065.0,1966.0,818.0,2008.0,3368.0,9015,2065.0,27.4,92400.0,343400.0,1559100.0,88526.0,83862.0,4740,4122,81,235,0.7383155015686591
24,2900.0,2963.0,172.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,22924,11671,11253,12182.0,3246.0,22924,14422,1413,5774,14265.0,582.0,7084.0,6256.0,534.0,4595.0,27.916604225985317,12431.0,0.04546663121510237,14141,2065.0,1966.0,818.0,2008.0,3368.0,9015,2065.0,27.4,92400.0,343400.0,1559100.0,88526.0,83862.0,4740,4122,81,235,0.7383155015686591
25,4179.0,4003.0,264.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,22924,11671,11253,12182.0,3246.0,22924,14422,1413,5774,14265.0,582.0,7084.0,6256.0,534.0,4595.0,27.916604225985317,12431.0,0.04546663121510237,14141,2065.0,1966.0,818.0,2008.0,3368.0,9015,2065.0,27.4,92400.0,343400.0,1559100.0,88526.0,83862.0,4740,4122,81,235,0.7383155015686591
26,6200.0,6193.0,132.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,22924,11671,11253,12182.0,3246.0,22924,14422,1413,5774,14265.0,582.0,7084.0,6256.0,534.0,4595.0,27.916604225985317,12431.0,0.04546663121510237,14141,2065.0,1966.0,818.0,2008.0,3368.0,9015,2065.0,27.4,92400.0,343400.0,1559100.0,88526.0,83862.0,4740,4122,81,235,0.7383155015686591
27,10375.0,9998.0,56.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,22924,11671,11253,12182.0,3246.0,22924,14422,1413,5774,14265.0,582.0,7084.0,6256.0,534.0,4595.0,27.916604225985317,12431.0,0.04546663121510237,14141,2065.0,1966.0,818.0,2008.0,3368.0,9015,2065.0,27.4,92400.0,343400.0,1559100.0,88526.0,83862.0,4740,4122,81,235,0.7383155015686591
28,3042.0,2900.0,217.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,22924,11671,11253,12182.0,3246.0,22924,14422,1413,5774,14265.0,582.0,7084.0,6256.0,534.0,4595.0,27.916604225985317,12431.0,0.04546663121510237,14141,2065.0,1966.0,818.0,2008.0,3368.0,9015,2065.0,27.4,92400.0,343400.0,1559100.0,88526.0,83862.0,4740,4122,81,235,0.7383155015686591
29,4295.0,4179.0,290.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,22924,11671,11253,12182.0,3246.0,22924,14422,1413,5774,14265.0,582.0,7084.0,6256.0,534.0,4595.0,27.916604225985317,12431.0,0.04546663121510237,14141,2065.0,1966.0,818.0,2008.0,3368.0,9015,2065.0,27.4,92400.0,343400.0,1559100.0,88526.0,83862.0,4740,4122,81,235,0.7383155015686591
30,6056.0,6200.0,157.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,22924,11671,11253,12182.0,3246.0,22924,14422,1413,5774,14265.0,582.0,7084.0,6256.0,534.0,4595.0,27.916604225985317,12431.0,0.04546663121510237,14141,2065.0,1966.0,818.0,2008.0,3368.0,9015,2065.0,27.4,92400.0,343400.0,1559100.0,88526.0,83862.0,4740,4122,81,235,0.7383155015686591
31,10250.0,10375.0,50.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,22924,11671,11253,12182.0,3246.0,22924,14422,1413,5774,14265.0,582.0,7084.0,6256.0,534.0,4595.0,27.916604225985317,12431.0,0.04546663121510237,14141,2065.0,1966.0,818.0,2008.0,3368.0,9015,2065.0,27.4,92400.0,343400.0,1559100.0,88526.0,83862.0,4740,4122,81,235,0.7383155015686591
32,3000.0,3042.0,211.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,22924,11671,11253,12182.0,3246.0,22924,14422,1413,5774,14265.0,582.0,7084.0,6256.0,534.0,4595.0,27.916604225985317,12431.0,0.04546663121510237,14141,2065.0,1966.0,818.0,2008.0,3368.0,9015,2065.0,27.4,92400.0,343400.0,1559100.0,88526.0,83862.0,4740,4122,81,235,0.7383155015686591
33,4202.0,4295.0,285.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,22924,11671,11253,12182.0,3246.0,22924,14422,1413,5774,14265.0,582.0,7084.0,6256.0,534.0,4595.0,27.916604225985317,12431.0,0.04546663121510237,14141,2065.0,1966.0,818.0,2008.0,3368.0,9015,2065.0,27.4,92400.0,343400.0,1559100.0,88526.0,83862.0,4740,4122,81,235,0.7383155015686591
34,5954.0,6056.0,168.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,22924,11671,11253,12182.0,3246.0,22924,14422,1413,5774,14265.0,582.0,7084.0,6256.0,534.0,4595.0,27.916604225985317,12431.0,0.04546663121510237,14141,2065.0,1966.0,818.0,2008.0,3368.0,9015,2065.0,27.4,92400.0,343400.0,1559100.0,88526.0,83862.0,4740,4122,81,235,0.7383155015686591
35,10250.0,10250.0,63.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,22924,11671,11253,12182.0,3246.0,22924,14422,1413,5774,14265.0,582.0,7084.0,6256.0,534.0,4595.0,27.916604225985317,12431.0,0.04546663121510237,14141,2065.0,1966.0,818.0,2008.0,3368.0,9015,2065.0,27.4,92400.0,343400.0,1559100.0,88526.0,83862.0,4740,4122,81,235,0.7383155015686591
36,2976.0,3000.0,228.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,22924,11671,11253,12182.0,3246.0,22924,14422,1413,5774,14265.0,582.0,7084.0,6256.0,534.0,4595.0,27.916604225985317,12431.0,0.04546663121510237,14141,2065.0,1966.0,818.0,2008.0,3368.0,9015,2065.0,27.4,92400.0,343400.0,1559100.0,88526.0,83862.0,4740,4122,81,235,0.7383155015686591
37,4200.0,4202.0,329.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,22924,11671,11253,12182.0,3246.0,22924,14422,1413,5774,14265.0,582.0,7084.0,6256.0,534.0,4595.0,27.916604225985317,12431.0,0.04546663121510237,14141,2065.0,1966.0,818.0,2008.0,3368.0,9015,2065.0,27.4,92400.0,343400.0,1559100.0,88526.0,83862.0,4740,4122,81,235,0.7383155015686591
38,6000.0,5954.0,194.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,22924,11671,11253,12182.0,3246.0,22924,14422,1413,5774,14265.0,582.0,7084.0,6256.0,534.0,4595.0,27.916604225985317,12431.0,0.04546663121510237,14141,2065.0,1966.0,818.0,2008.0,3368.0,9015,2065.0,27.4,92400.0,343400.0,1559100.0,88526.0,83862.0,4740,4122,81,235,0.7383155015686591
39,7200.0,10250.0,79.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,22924,11671,11253,12182.0,3246.0,22924,14422,1413,5774,14265.0,582.0,7084.0,6256.0,534.0,4595.0,27.916604225985317,12431.0,0.04546663121510237,14141,2065.0,1966.0,818.0,2008.0,3368.0,9015,2065.0,27.4,92400.0,343400.0,1559100.0,88526.0,83862.0,4740,4122,81,235,0.7383155015686591
40,2976.0,2976.0,234.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,22924,11671,11253,12182.0,3246.0,22924,14422,1413,5774,14265.0,582.0,7084.0,6256.0,534.0,4595.0,27.916604225985317,12431.0,0.04546663121510237,14141,2065.0,1966.0,818.0,2008.0,3368.0,9015,2065.0,27.4,92400.0,343400.0,1559100.0,88526.0,83862.0,4740,4122,81,235,0.7383155015686591
41,4248.0,4200.0,371.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,22924,11671,11253,12182.0,3246.0,22924,14422,1413,5774,14265.0,582.0,7084.0,6256.0,534.0,4595.0,27.916604225985317,12431.0,0.04546663121510237,14141,2065.0,1966.0,818.0,2008.0,3368.0,9015,2065.0,27.4,92400.0,343400.0,1559100.0,88526.0,83862.0,4740,4122,81,235,0.7383155015686591
42,5895.0,6000.0,207.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,22924,11671,11253,12182.0,3246.0,22924,14422,1413,5774,14265.0,582.0,7084.0,6256.0,534.0,4595.0,27.916604225985317,12431.0,0.04546663121510237,14141,2065.0,1966.0,818.0,2008.0,3368.0,9015,2065.0,27.4,92400.0,343400.0,1559100.0,88526.0,83862.0,4740,4122,81,235,0.7383155015686591
43,7295.0,7200.0,119.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,22924,11671,11253,12182.0,3246.0,22924,14422,1413,5774,14265.0,582.0,7084.0,6256.0,534.0,4595.0,27.916604225985317,12431.0,0.04546663121510237,14141,2065.0,1966.0,818.0,2008.0,3368.0,9015,2065.0,27.4,92400.0,343400.0,1559100.0,88526.0,83862.0,4740,4122,81,235,0.7383155015686591
44,2995.0,2976.0,245.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,22924,11671,11253,12182.0,3246.0,22924,14422,1413,5774,14265.0,582.0,7084.0,6256.0,534.0,4595.0,27.916604225985317,12431.0,0.04546663121510237,14141,2065.0,1966.0,818.0,2008.0,3368.0,9015,2065.0,27.4,92400.0,343400.0,1559100.0,88526.0,83862.0,4740,4122,81,235,0.7383155015686591
